entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-09-22 06:06:00+00:00,2025-09-22 06:08:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5473537301493644,73.96141902144154,0.001199440111977819,0.03333333333333333
2025-09-22 06:15:00+00:00,2025-09-22 06:16:00+00:00,112814.7927649479,112995.29643337181,11,11,0.5497260846221423,74.40083566198882,0.0011994401119777578,0.016666666666666666
2025-09-22 06:22:00+00:00,2025-09-22 06:23:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5472365305853625,73.94558237761521,0.0011994401119775487,0.016666666666666666
2025-09-22 06:21:00+00:00,2025-09-22 06:25:00+00:00,112814.7927649479,112995.29643337181,11,11,0.4636633568600901,62.752964032886666,0.0011994401119777326,0.06666666666666667
2025-09-22 06:28:00+00:00,2025-09-22 06:30:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5481217977112401,74.06520449625532,0.0011994401119776405,0.03333333333333333
2025-09-22 06:21:00+00:00,2025-09-22 06:38:00+00:00,112814.7927649479,112995.29643337181,11,11,0.25283681089580157,34.21935131509599,0.0011994401119775919,0.2833333333333333
2025-09-22 06:27:00+00:00,2025-09-22 06:50:00+00:00,112814.7927649479,112995.29643337181,11,11,0.04446464744878886,6.017918778366948,0.0011994401119778003,0.38333333333333336
2025-09-22 06:27:00+00:00,2025-09-22 06:50:00+00:00,112814.7927649479,112995.29643337181,11,11,0.5069347132943144,68.60938083571091,0.0011994401119776654,0.38333333333333336
2025-09-22 07:00:00+00:00,2025-09-22 07:03:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5488633419713855,74.16540599799919,0.0011994401119775969,0.05
2025-09-22 07:19:00+00:00,2025-09-22 07:28:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5511320343147317,74.4719640714975,0.0011994401119775904,0.15
2025-09-22 08:00:00+00:00,2025-09-22 08:08:00+00:00,112454.65000104054,112634.57744104222,13,13,0.5505451766907378,74.27382654857502,0.001199440111977652,0.13333333333333333
2025-09-22 09:31:00+00:00,2025-09-22 09:34:00+00:00,112275.00998506443,112454.65000104054,14,14,0.5476338573211958,73.76304076771339,0.0011994401119778176,0.05
2025-09-22 09:38:00+00:00,2025-09-22 10:07:00+00:00,112275.00998506443,112454.65000104054,14,14,0.54871047979835,73.90805544605973,0.0011994401119777359,0.48333333333333334
2025-09-22 09:14:00+00:00,2025-09-22 10:21:00+00:00,112454.65000104054,112634.57744104222,13,13,0.5511455576633619,74.35482370214595,0.0011994401119776637,1.1166666666666667
2025-09-22 10:32:00+00:00,2025-09-22 10:49:00+00:00,112454.65000104054,112634.57744104222,13,13,0.5530691623416147,74.6143364292875,0.001199440111977578,0.2833333333333333
2025-09-22 07:52:00+00:00,2025-09-22 10:53:00+00:00,112634.57744104222,112814.7927649479,12,12,0.364310542843327,49.22762599208363,0.0011994401119778475,3.0166666666666666
2025-09-22 07:52:00+00:00,2025-09-22 12:56:00+00:00,112634.57744104222,112814.7927649479,12,12,0.553382303071786,74.77603264959907,0.001199440111977408,5.066666666666666
2025-09-22 12:02:00+00:00,2025-09-22 12:56:00+00:00,112634.57744104222,112814.7927649479,12,12,0.0017324533164324585,0.23409853375213174,0.0011994401119776229,0.9
2025-09-22 13:47:00+00:00,2025-09-22 13:51:00+00:00,112454.65000104054,112634.57744104222,13,13,0.5527518217062175,74.57152413282893,0.0011994401119773438,0.06666666666666667
2025-09-22 12:02:00+00:00,2025-09-22 13:54:00+00:00,112634.57744104222,112814.7927649479,12,12,0.46910444588184674,63.38794928320567,0.0011994401119775748,1.8666666666666667
2025-09-10 12:49:00+00:00,2025-09-22 14:03:00+00:00,112995.29643337181,113214.7,10,10,0.5512232835699911,96.00191102168174,0.0015410087631017742,289.23333333333335
2025-09-22 06:01:00+00:00,2025-09-22 14:03:00+00:00,112995.29643337181,113214.7,10,10,0.0028432910114154497,0.4951920189561747,0.0015410087631019009,8.033333333333333
2025-09-22 06:40:00+00:00,2025-09-22 14:37:00+00:00,112814.7927649479,113011.0,11,11,0.5508739677879184,83.20514798398654,0.0013385822056059043,7.95
2025-09-22 06:40:00+00:00,2025-09-22 14:37:00+00:00,112814.7927649479,113011.0,11,11,0.0043477018291971925,0.656685912310536,0.0013385822056664206,7.95
2025-09-22 06:55:00+00:00,2025-09-22 15:01:00+00:00,112814.7927649479,112995.29643337181,11,11,0.5513993607431033,74.62729961407604,0.0011994401119776472,8.1
2025-09-22 06:55:00+00:00,2025-09-22 15:01:00+00:00,112814.7927649479,112995.29643337181,11,11,0.004271906392782299,0.5781668623429823,0.0011994401119826,8.1
2025-09-22 14:55:00+00:00,2025-09-22 15:09:00+00:00,112814.7927649479,112995.29643337181,11,11,0.5518127999837885,74.68325516332698,0.001199440111977652,0.23333333333333334
2025-09-22 14:55:00+00:00,2025-09-22 15:09:00+00:00,112814.7927649479,112995.29643337181,11,11,0.004968904851081923,0.6724997841446338,0.001199440111983151,0.23333333333333334
2025-09-22 12:02:00+00:00,2025-09-22 15:48:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5559835910961053,75.12753286411316,0.0011994401119774232,3.7666666666666666
2025-09-22 13:39:00+00:00,2025-09-22 15:48:00+00:00,112634.57744104222,112814.7927649479,12,12,0.0011701397414606296,0.15811565896913748,0.001199440111977421,2.15
2025-09-22 17:10:00+00:00,2025-09-22 17:22:00+00:00,112275.00998506443,112454.65000104054,14,14,0.546135265143811,73.56118926711497,0.0011994401119776931,0.2
